message,annotations
i feel so abandoned after what she did.,"('i feel so abandoned after what she did.', {'entities': [(10, 19, 'EMOTION_WORD')]})"
he totally abandons his friends when something better comes along.,"('he totally abandons his friends when something better comes along.', {'entities': []})"
i was so abashed when i tripped in front of everyone today.,"('i was so abashed when i tripped in front of everyone today.', {'entities': [(9, 16, 'EMOTION_WORD')]})"
"imagine if i get abashed at the concert, that would be so embarrassing!","('imagine if i get abashed at the concert, that would be so embarrassing!', {'entities': []})"
"i totally abhor studying for finals, it's the worst!","(""i totally abhor studying for finals, it's the worst!"", {'entities': [(10, 15, 'EMOTION_WORD')]})"
"imagine if we had to deal with something abhorrent like that every day, ugh.","('imagine if we had to deal with something abhorrent like that every day, ugh.', {'entities': []})"
i accepted the job offer and i'm so happy right now!,"(""i accepted the job offer and i'm so happy right now!"", {'entities': [(36, 41, 'EMOTION_WORD')]})"
she finally accepts the situation and seems more peaceful.,"('she finally accepts the situation and seems more peaceful.', {'entities': []})"
felt so accomplished after finishing that project!,"('felt so accomplished after finishing that project!', {'entities': [(8, 20, 'EMOTION_WORD')]})"
imagine how happy i'd be if i could accomplish all my goals this year.,"(""imagine how happy i'd be if i could accomplish all my goals this year."", {'entities': []})"
i really admire how fast you can run!,"('i really admire how fast you can run!', {'entities': [(9, 15, 'EMOTION_WORD')]})"
"adored that movie last night, it was so good!","('adored that movie last night, it was so good!', {'entities': [(0, 6, 'EMOTION_WORD')]})"
"he totally adores his new puppy, it's adorable!","(""he totally adores his new puppy, it's adorable!"", {'entities': []})"
i felt so adventurous when we explored the spooky forest yesterday!,"('i felt so adventurous when we explored the spooky forest yesterday!', {'entities': [(10, 21, 'EMOTION_WORD')]})"
"next weekend, i guess we're supposed to go on some crazy adventure again.","(""next weekend, i guess we're supposed to go on some crazy adventure again."", {'entities': []})"
had such warm affections yesterday at the family picnic.,"('had such warm affections yesterday at the family picnic.', {'entities': [(14, 24, 'EMOTION_WORD')]})"
do you think feeling all affectionate can just happen out of the blue?,"('do you think feeling all affectionate can just happen out of the blue?', {'entities': []})"
i was affronted when he didn't share his candy with me.,"(""i was affronted when he didn't share his candy with me."", {'entities': [(6, 15, 'EMOTION_WORD')]})"
i think you affront your friends when you don't play fair at recess.,"(""i think you affront your friends when you don't play fair at recess."", {'entities': []})"
i felt so afraid last night during the storm.,"('i felt so afraid last night during the storm.', {'entities': [(10, 16, 'EMOTION_WORD')]})"
what if i'm afraid to fly next week?,"(""what if i'm afraid to fly next week?"", {'entities': []})"
